case_dir,case_id,dataset,organ,selected_slice,selection_metric,dice,voxel_iou,voxel_dice,f1_001,cd,emd,hd95,asd,volume_error
case000,0.0,BTCV,liver,single_sagittal_01,dice,0.0781732706514439,0.0406765445904389,0.0781732706514439,0.0329423166770265,0.3860589265823364,0.3368302583694458,20.44504737854004,6.613572597503662,0.4956556880177813
case001,1.0,BTCV,liver,single_sagittal_03,dice,0.0383442265795207,0.0195468680586406,0.0383442265795207,0.0172815042150358,0.4999711513519287,0.4531007707118988,22.405357360839844,10.459146499633787,0.734142305570877
case002,2.0,BTCV,liver,single_axial_01,dice,0.0613769134067884,0.031660054928288,0.0613769134067884,0.0276273758043136,0.4429953694343567,0.4083061814308166,21.587032318115234,8.480087280273438,0.513956043956044
case003,3.0,BTCV,liver,single_axial_03,dice,0.0945590994371482,0.0496258369436786,0.0945590994371482,0.0366574263203968,0.3140171468257904,0.2695182561874389,15.0,5.309277534484863,0.4834977238239757
case004,4.0,BTCV,liver,single_sagittal_02,dice,0.0876623376623376,0.0458404074702886,0.0876623376623376,0.0438633925248691,0.2816801369190216,0.2550295293331146,13.601470947265623,6.11515998840332,0.752826050278387
case005,case005,BTCV,liver,single_sagittal_02,dice,0.0719838756118629,0.0373357228195937,0.0719838756118629,0.0340421498455677,0.4797391295433044,0.4572041630744934,20.39607810974121,9.10304832458496,0.6716389366991776
case006,case006,BTCV,liver,single_axial_03,dice,0.0596026490066225,0.030716723549488,0.0596026490066225,0.0234505078238888,0.516448974609375,0.466141402721405,22.649503707885746,9.783449172973633,0.662324127149557
case007,case007,BTCV,liver,single_axial_03,dice,0.0944156591824985,0.0495468277945619,0.0944156591824985,0.0536428665003155,0.2430215775966644,0.2122412472963333,13.0,4.388840198516846,0.4918602127197742
case008,case008,BTCV,liver,single_sagittal_03,dice,0.0937849659241175,0.0491995731056563,0.0937849659241175,0.0394213269822135,0.3915466070175171,0.3816077709197998,19.209373474121094,7.354515552520752,0.6219512195121951
case009,case009,BTCV,liver,single_axial_01,dice,0.0735687764441758,0.0381891528462572,0.0735687764441758,0.023830694275274,0.4382942318916321,0.3751063048839569,19.0,6.9257426261901855,0.2608499774740952
case010,case010,BTCV,liver,single_axial_01,dice,0.0496606786427145,0.0254625839200916,0.0496606786427145,0.0176056813812661,0.4710412621498108,0.4300885796546936,18.802920627593974,7.774223327636719,0.2975397580535544
case011,case011,BTCV,liver,single_axial_03,dice,0.0831463328215424,0.0433764633394947,0.0831463328215424,0.0378720783843435,0.3384025394916534,0.3316053748130798,17.14642906188965,5.5577073097229,0.3233663366336634
case012,case012,BTCV,liver,single_axial_02,dice,0.039983844911147,0.0203997527302699,0.039983844911147,0.0193395609649425,0.4192403554916382,0.3917467594146728,18.12042627334596,7.4388747215271,0.4289340101522843
case013,case013,BTCV,liver,single_axial_03,dice,0.0687153652392947,0.0355801335559265,0.0687153652392947,0.0302091647156386,0.3972182273864746,0.3650396168231964,20.0,6.799341201782227,0.4645730198019802
case014,case014,BTCV,liver,single_axial_01,dice,0.0704890387858347,0.0365320748120957,0.0704890387858347,0.0242592374298083,0.4012764692306518,0.3392567634582519,16.278820037841797,6.236370086669922,0.2090003020235578
case015,case015,BTCV,liver,single_axial_01,dice,0.0384851084691751,0.0196200949762559,0.0384851084691751,0.0039839492262055,0.3823533058166504,0.3437866568565368,14.177447319030762,6.69400691986084,0.6987240829346093
case016,case016,BTCV,liver,single_axial_03,dice,0.0793444588787848,0.0413111342351716,0.0793444588787848,0.032558748531057,0.3976383805274963,0.3255626261234283,21.424285888671875,7.138191223144531,0.4805648344974187
case017,case017,BTCV,liver,single_axial_01,dice,0.0911667989567978,0.0477604847332778,0.0911667989567978,0.0319749538322723,0.3348855674266815,0.3007422089576721,20.0,6.040928840637207,0.4638564709980839
case018,case018,BTCV,liver,single_axial_01,dice,0.0513918629550321,0.0263736263736263,0.0513918629550321,0.0142580356699289,0.4806703329086303,0.4160650074481964,17.0,7.842448711395264,0.4361900037206995
case019,case019,BTCV,liver,single_sagittal_02,dice,0.0527444794952681,0.0270865733540694,0.0527444794952681,0.022319900980052,0.4502797126770019,0.4162762761116028,20.97617721557617,8.951517105102539,0.7124289195775793
